变量名,N,均值,标准差,最小值,最大值
年龄,15672,40.0267,10.2639,17.0,59.0
女性,15672,0.3627,0.4808,0.0,1.0
初中及以下,15672,0.6692,0.4705,0.0,1.0
高中,15672,0.2102,0.4075,0.0,1.0
大专及以上,15672,0.1206,0.3257,0.0,1.0
"健康状况（1=非常不好, 5=非常好）",15670,3.6292,0.883,1.0,5.0
农业户口,15672,0.6996,0.4585,0.0,1.0
是否流动,15672,0.0962,0.2949,0.0,1.0
个人年收入,15672,48436.4456,191097.6667,-2500000.0,5000000.0
家庭总收入,15669,99700.0967,238064.8587,-1111780.0,12122418.0
家庭总消费,15672,115947.974,1918474.9217,2026.0,169546352.0
家庭总资产,15672,1317501.5533,24518692.9054,0.0,2099575808.0
家庭总负债,14109,94812.4547,394261.5824,0.0,14045000.0
家庭人数,15672,4.1913,1.6109,1.0,15.0
子女数,15672,0.8125,0.9191,0.0,6.0
老人数,15672,0.4883,0.7609,0.0,4.0
是否参保,15672,0.5642,0.4959,0.0,1.0
参保类型：城乡居民养老保险,15672,0.4792,0.4996,0.0,1.0
参保类型：城镇职工养老保险,15672,0.1255,0.3313,0.0,1.0
历史参保年限,14545,4.34,5.843,0.0,44.0
是否断缴,14343,0.0465,0.2106,0.0,1.0
家庭参保人数,15672,2.0765,1.4129,0.0,9.0
家庭养老金依赖度,15330,0.0519,0.2198,0.0,20.0
居民保负担率,15634,0.031,1.8996,0.0,170.0
职工保负担率,15634,2.6148,120.7101,0.0,9501.0
