变量名,N,均值,标准差,最小值,最大值,展示单位,处理方式
年龄,15672,40.03,10.26,17.0,59.0,原值,原始值
女性,15672,36.27,48.08,0.0,100.0,%,比例转百分比
初中及以下,15672,66.92,47.05,0.0,100.0,%,比例转百分比
高中,15672,21.02,40.75,0.0,100.0,%,比例转百分比
大专及以上,15672,12.06,32.57,0.0,100.0,%,比例转百分比
"健康状况（1=非常不好, 5=非常好）",15670,3.63,0.88,1.0,5.0,得分,原始值
农业户口,15672,69.96,45.85,0.0,100.0,%,比例转百分比
是否流动,15672,9.62,29.49,0.0,100.0,%,比例转百分比
个人年收入,15672,40602.47,59415.25,-20000.0,437220.0,元,1%缩尾
家庭总收入,15669,90762.14,95019.85,-31521.0,607166.2,元,1%缩尾
家庭总消费,15672,90823.95,84944.2,10469.42,523700.0,元,1%缩尾
家庭总资产,15672,947156.71,1476374.82,6710.0,9304779.88,元,1%缩尾
家庭总负债,14109,78077.32,187208.87,0.0,1195349.0,元,1%缩尾
家庭人数,15672,4.19,1.61,1.0,15.0,原值,原始值
子女数,15672,0.81,0.92,0.0,6.0,原值,原始值
老人数,15672,0.49,0.76,0.0,4.0,原值,原始值
是否参保,15672,56.42,49.59,0.0,100.0,%,比例转百分比
参保类型：城乡居民养老保险,15672,47.92,49.96,0.0,100.0,%,比例转百分比
参保类型：城镇职工养老保险,15672,12.55,33.13,0.0,100.0,%,比例转百分比
历史参保年限,14545,4.34,5.84,0.0,44.0,原值,原始值
是否断缴,14343,4.65,21.06,0.0,100.0,%,比例转百分比
家庭参保人数,15672,2.08,1.41,0.0,9.0,原值,原始值
家庭养老金依赖度,15330,4.87,13.58,0.0,76.7,%,比例转百分比后1%缩尾
居民保负担率,15634,0.18,0.29,0.0,1.92,%,比例转百分比后1%缩尾
职工保负担率,15634,15.51,21.98,0.4,151.31,%,比例转百分比后1%缩尾
