变量名,源字段,构造说明
年龄,年龄,直接使用主样本字段
女性,性别,"女=1, 男=0"
初中及以下,文化程度,未上学/小学/初中/不清楚 = 1
高中,文化程度,高中/中专职高 = 1
大专及以上,文化程度,大专/本科/硕士/博士 = 1
"健康状况（1=非常不好, 5=非常好）",健康状况,先检查编码；当前采用稳定有序映射或后备二元变量
农业户口,户口性质,农业=1
是否流动,是否流动,"是=1, 否=0"
个人年收入,个人年收入,去除‘元’并转数值
家庭总收入,家庭总收入,去除‘元’并转数值
家庭总消费,家庭总消费,去除‘元’并转数值
家庭总资产,家庭总资产,去除‘元’并转数值
家庭总负债,家庭总负债,去除‘元’并转数值
家庭人数,家庭人数,直接转数值
子女数,子女数,直接转数值
老人数,老人数,直接转数值
是否参保,2018年参保决策,"参保=1, 不参保=0"
参保类型：城乡居民养老保险,2019年参保账户,城乡居民养老保险=1
参保类型：城镇职工养老保险,2019年参保账户,城镇职工养老保险=1
历史参保年限,累计缴纳年限,去除‘年’并转数值
是否断缴,是否存在断缴,"断缴X年=1, 不存在=0, 不清楚缺失"
家庭参保人数,家庭参保人数,直接转数值
居民保负担率,burden_data 三类居民保负担,取正值中的最小值作为代表负担率
职工保负担率,burden_data 三类职工保负担,取正值中的最小值作为代表负担率
家庭养老金依赖度,家庭月均养老金 + 家庭总收入,家庭月均养老金*12/家庭总收入
