type_f1_mode,dataset,model_a,model_b,metric,n_datasets,datasets,n_bootstrap,seed,observed,ci_low,ci_high,bootstrap_mean,p_delta_le_0,p_delta_ge_0
binary,external_macro_average,flexpension,claude_opus_4_6,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,-0.05485682802736691,-0.06600574635278092,-0.04409484534614613,-0.054924813234422415,1.0,0.0
binary,external_macro_average,flexpension,claude_opus_4_6,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.03839444288442179,-0.03264557643141264,0.10770402044031825,0.0382022979308112,0.1454,0.8546
binary,external_macro_average,flexpension,claude_opus_4_6,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,-0.017556319662651476,-0.046243098882908125,0.010523828408843524,-0.017673968768328968,0.8843,0.1157
binary,external_macro_average,flexpension,claude_sonnet_4_5,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.05129797046934792,0.03752327663287632,0.06557460101298461,0.05129254247946614,0.0,1.0
binary,external_macro_average,flexpension,claude_sonnet_4_5,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.07172812486716063,-0.0022966884831149567,0.14395697545644978,0.07160039118851352,0.0282,0.9718
binary,external_macro_average,flexpension,claude_sonnet_4_5,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.059470032228473024,0.029349431462397355,0.08954586083252937,0.05941568196308508,0.0001,0.9999
binary,external_macro_average,flexpension,claude_sonnet_4_6,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.00600945553907517,-0.0067111904890003555,0.018901577586204386,0.005980858107691535,0.1854,0.8146
binary,external_macro_average,flexpension,claude_sonnet_4_6,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.04712408128800272,-0.02142296378866588,0.11453971801994861,0.047123350847961695,0.0866,0.9134
binary,external_macro_average,flexpension,claude_sonnet_4_6,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.02245530583864619,-0.00539451747322736,0.05017815571212274,0.0224378552037996,0.0591,0.9409
binary,external_macro_average,flexpension,correct_only,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.05459539137400404,0.040156959763767014,0.069627956009498,0.054610533309576645,0.0,1.0
binary,external_macro_average,flexpension,correct_only,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,-0.039233227859464814,-0.10649183491967272,0.027959931853638816,-0.03910549418681529,0.8706,0.1294
binary,external_macro_average,flexpension,correct_only,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.017063943680616478,-0.011081611556487183,0.044616823830663566,0.01712412231101988,0.118,0.882
binary,external_macro_average,flexpension,deepseek_v4_pro,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.0007586792818772281,-0.012615653208903921,0.014519994569854552,0.0007132184499893368,0.4563,0.5437
binary,external_macro_average,flexpension,deepseek_v4_pro,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.14860601194844203,0.07562620117632854,0.22064113207955005,0.14871666589385976,0.0,1.0
binary,external_macro_average,flexpension,deepseek_v4_pro,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.059897612348503215,0.029485844621827323,0.09008737427400088,0.05991459742753751,0.0002,0.9998
binary,external_macro_average,flexpension,gemini_3_1_pro_preview,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,-0.016908747008370306,-0.02956297433122787,-0.004571476379742607,-0.017025298646449964,0.9958,0.0042
binary,external_macro_average,flexpension,gemini_3_1_pro_preview,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.004728936956388818,-0.06440303396607167,0.07178800888803215,0.003921339748392366,0.456,0.544
