type_f1_mode,dataset,model,metric,n_datasets,datasets,n_bootstrap,seed,observed,ci_low,ci_high,bootstrap_mean
binary,external_macro_average,claude_opus_4_6,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.9885099759194571,0.9838422760552246,0.9927574757441362,0.9885274109836518
binary,external_macro_average,claude_opus_4_6,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.4482534859422543,0.38247533012293644,0.5106094964117064,0.4470311577640014
binary,external_macro_average,claude_opus_4_6,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.772407379928576,0.7461101605386631,0.7974398270799639,0.7719289096957916
binary,external_macro_average,claude_sonnet_4_5,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.8823551774227423,0.8687891317306469,0.8957674863426611,0.8823100552697634
binary,external_macro_average,claude_sonnet_4_5,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.41491980395951544,0.3499982342295682,0.47601136232433405,0.41363306450629916
binary,external_macro_average,claude_sonnet_4_5,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.6953810280374515,0.6678237749671375,0.7209674184472735,0.6948392589643776
binary,external_macro_average,claude_sonnet_4_6,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.927643692353015,0.9159988527055051,0.9387616316813143,0.927621739641538
binary,external_macro_average,claude_sonnet_4_6,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.43952384753867335,0.37211028729306805,0.5023820053775556,0.43811010484685103
binary,external_macro_average,claude_sonnet_4_6,composite_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.7323957544272783,0.7044471757762616,0.7578137502099981,0.7318170857236631
binary,external_macro_average,correct_only,action_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.8790577565180862,0.8631764924582536,0.8937943599286364,0.8789920644396528
binary,external_macro_average,correct_only,type_f1,4,cfps2018_new;chfs2017_new;chip2018_new;clds2018_new,10000,42,0.5258811566861409,0.45475761965956246,0.5908218457614234,0.5243389498816279
